-10923.33, -459.84
-11052.40, -797.10
-11181.68, -1103.81
-11290.46, -1438.17
-11373.38, -1785.00
-11420.63, -2137.19
-11434.90, -2494.72
-11422.42, -2863.85
-11357.33, -3215.15
-11268.17, -3556.63
-11155.82, -3899.01
-11005.14, -4230.69
-10847.33, -4566.83
-10671.68, -4886.91
-10522.48, -737.06
-10594.56, -1095.19
-10665.89, -1462.24
-10713.44, -1825.57
-10741.67, -2187.42
-10762.48, -2550.00
-10782.54, -2917.05
-10795.91, -3285.58
-10802.60, -3640.74
-10074.57, -755.39
-10098.10, -1119.47
-10121.63, -1482.92
-10153.83, -1852.57
-10213.89, -2219.12
-10255.99, -2586.29
-10306.76, -2954.70
-10359.39, -3313.82
-10413.26, -3681.61
-10472.70, -4046.30
-9604.62, -688.52
-9661.59, -1061.26
-9701.21, -1424.72
-9725.98, -1790.65
-9761.27, -2166.49
-9795.33, -2533.66
-9838.67, -2911.97
-9896.87, -3269.86
-9960.03, -3633.31
-10032.47, -3998.62
-9258.19, -1594.89
-9225.69, -1967.73
-9195.35, -2335.52
-9163.77, -2710.74
-9129.10, -3098.96
-9077.09, -3466.75
-9036.84, -3806.68
-8929.72, -825.98
-8879.57, -1200.58
-8834.37, -1572.70
-8793.50, -1942.97
-8768.12, -2313.23
-8750.16, -2681.64
-8711.77, 221.66
-8631.28, -145.51
-8563.17, -508.96
-8508.68, -874.89
-8454.20, -1251.97
-8413.95, -1619.76
-8372.47, -1991.88
-8337.79, -2357.19
-8324.79, -2739.22
-8321.07, -3123.11
-8322.93, -3495.24
-8330.36, -3872.31
-8352.03, -4248.15
-8305.35, 1036.05
-8225.10, 672.27
-8160.91, 302.26
-8088.88, -60.68
-8030.68, -434.04
-7986.72, -805.54
-7950.19, -1175.19
-7915.52, -1551.65
-7899.42, -1928.11
-7882.08, -2300.85
-7874.65, -2680.40
-7868.46, -3050.05
-7867.84, -3426.51
-7869.08, -3805.44
-7436.03, -630.07
-7453.12, -1009.75
-7470.95, -1378.28
-7469.09, -1755.36
-7470.33, -2128.72
-7444.94, -2501.71
-7417.45, -2885.10
-7382.93, -3263.29
-7343.32, -3642.57
-7289.45, -4002.62
-7231.67, -4384.58
-7156.78, -4751.57
-7069.04, -5120.69
-7016.97, -285.32
-7005.08, -655.33
-7002.85, -1028.32
-6982.48, -1408.84
-6970.90, -1765.39
-6962.73, -2139.86
-6922.61, -2494.28
-6889.92, -2840.52
-6867.63, -3213.51
-6840.88, -3595.42
-6805.21, -3968.41
-6765.83, -4349.57
-6733.88, -4710.67
-6686.33, -5077.72
-6260.96, -2299.11
-6213.63, -2662.35
-6170.83, -3021.67
-6086.13, -3823.22
-6062.06, -4168.28
-6051.36, -4530.27
-6041.55, -4889.59
-3600.11, -532.83
-3657.38, -892.50
-3694.83, -1245.58
-3739.41, -1596.87
-3771.51, -1955.30
-3811.63, -2312.84
-3816.98, -2665.91
-3816.09, -3027.02
-3821.44, -3392.58
-3817.87, -3756.35
-3818.77, -4124.59
-3826.79, -4491.04
-3840.16, -4872.65
-3864.39, -5239.70
-4667.58, -732.90
-4574.85, -1085.09
-4486.58, -1431.03
-4410.79, -1780.55
-4353.73, -2134.51
-4309.15, -2495.62
-4277.94, -2854.04
-4265.46, -3224.06
-4268.14, -3593.19
-4292.21, -3961.42
-4323.42, -4333.22
-4380.48, -4690.76
-5120.81, -756.38
-5038.34, -1104.11
-4954.38, -1449.61
-4871.16, -1798.82
-4807.26, -2155.47
-4749.31, -2505.42
-4704.73, -2862.81
-4678.72, -3222.43
-4682.44, -3594.67
-4706.96, -3956.52
-4750.05, -4317.62
-4804.29, -4697.30
-4865.96, -5058.40
-4946.21, -5422.48
-5041.31, -5775.40
-2785.39, 255.00
-2684.64, -84.70
-2595.48, -441.35
-2526.82, -797.10
-2458.17, -1147.50
-2392.19, -1515.74
-2320.86, -1878.62
-2250.42, -2239.72
-2197.82, -2602.61
-2155.91, -2965.50
-2135.41, -3331.95
-2145.21, -3698.40
-2177.31, -4059.50
-2223.68, -4425.06
-2283.41, -4791.51
-2349.39, -5150.83
-2508.40, 708.09
-2364.25, 376.71
-2234.97, 35.66
-2114.60, -302.40
-2008.35, -651.62
-1913.99, -999.35
-1832.26, -1349.30
-1772.82, -1708.18
-1723.78, -2070.76
-1693.32, -2434.84
-1668.80, -2809.31
-1675.48, -3171.90
-1695.55, -3535.23
-1739.38, -3900.05
-1460.75, -1082.56
-1408.00, -1443.60
-1359.71, -1809.23
-1293.58, -2143.58
-1251.97, -2500.22
-1215.56, -2870.98
-1195.50, -3234.32
-1185.84, -3596.90
-1203.67, -3966.92
-1234.14, -4338.43
-1295.81, -4700.27
